Stock ticker,Date,Open,High,Low,Close,Adj Close,Volume
ADBE,6/17/2021,539.98999,552.719971,538.75,551.359985,551.359985,3566400
ADBE,6/18/2021,569.960022,570,556.390015,565.590027,565.590027,6762000
ADBE,6/21/2021,565.98999,570.190002,560.349976,567.349976,567.349976,2625900
ADBE,6/22/2021,568.51001,576.309998,567,575.73999,575.73999,2370400
ADBE,6/23/2021,577.98999,579.799988,570.710022,574.22998,574.22998,1616700
ADBE,6/24/2021,575.900024,580.969971,574.960022,578.26001,578.26001,1835000
ADBE,6/25/2021,578.640015,582,577.059998,579.659973,579.659973,2133500
ADBE,6/28/2021,582.710022,589.409973,581,588.799988,588.799988,1714000
ADBE,6/29/2021,586.780029,591.340027,583.900024,590.75,590.75,1204800
ADBE,6/30/2021,590.75,592.23999,585,585.640015,585.640015,1704200
ADBE,7/1/2021,583.330017,587.780029,581.349976,584.72998,584.72998,1646100
ADBE,7/2/2021,588.669983,594.080017,587.960022,593.070007,593.070007,1744600
ADBE,7/6/2021,595.869995,600.659973,592.47998,596.900024,596.900024,1657400
ADBE,7/7/2021,600,607.669983,597.400024,605.77002,605.77002,2022500
ADBE,7/8/2021,595.640015,607.299988,593.330017,605.950012,605.950012,1846600
ADBE,7/9/2021,601.429993,605.950012,597.440002,604.5,604.5,2145200
ADBE,7/12/2021,606,607.419983,596.47998,600.200012,600.200012,1696200
ADBE,7/13/2021,600.559998,609.330017,598.419983,605.01001,605.01001,1435600
ADBE,7/14/2021,608.140015,611.299988,604.01001,608.830017,608.830017,1376900
ADBE,7/15/2021,608.400024,609.950012,602.650024,606.169983,606.169983,1618100
ADBE,7/16/2021,608.710022,611.619995,603.659973,606.099976,606.099976,1249700
ADBE,7/19/2021,602.75,610.690002,598.140015,602.049988,602.049988,2046600
ADBE,7/20/2021,605.390015,612.75,598.47998,608.719971,608.719971,1675700
ADBE,7/21/2021,605.719971,612.580017,603.320007,612.26001,612.26001,1381000
ADBE,7/22/2021,614.580017,623.950012,614.580017,623.679993,623.679993,1477900
ADBE,7/23/2021,625.76001,631.640015,622,625.869995,625.869995,2030400
ADBE,7/26/2021,624.179993,625.869995,619.72998,620.799988,620.799988,1389800
