Stock ticker,Date,Open,High,Low,Close,Adj Close,Volume
AAPL,6/17/2021,129.800003,132.550003,129.649994,131.789993,131.041321,96721700
AAPL,6/18/2021,130.710007,131.509995,130.240005,130.460007,129.718887,108953300
AAPL,6/21/2021,130.300003,132.410004,129.210007,132.300003,131.548431,79663300
AAPL,6/22/2021,132.130005,134.080002,131.619995,133.979996,133.218872,74783600
AAPL,6/23/2021,133.770004,134.320007,133.229996,133.699997,132.940491,60214200
AAPL,6/24/2021,134.449997,134.639999,132.929993,133.410004,132.65213,68711000
AAPL,6/25/2021,133.460007,133.889999,132.809998,133.110001,132.353836,70783700
AAPL,6/28/2021,133.410004,135.25,133.350006,134.779999,134.014359,62111300
AAPL,6/29/2021,134.800003,136.490005,134.350006,136.330002,135.555527,64556100
AAPL,6/30/2021,136.169998,137.410004,135.869995,136.960007,136.181976,63261400
AAPL,7/1/2021,136.600006,137.330002,135.759995,137.270004,136.490189,52485800
AAPL,7/2/2021,137.899994,140,137.75,139.960007,139.164917,78852600
AAPL,7/6/2021,140.070007,143.149994,140.070007,142.020004,141.213211,108181800
AAPL,7/7/2021,143.539993,144.889999,142.660004,144.570007,143.748749,104911600
AAPL,7/8/2021,141.580002,144.059998,140.669998,143.240005,142.426285,105575500
AAPL,7/9/2021,142.75,145.649994,142.649994,145.110001,144.28566,99890800
AAPL,7/12/2021,146.210007,146.320007,144,144.5,143.679123,76299700
AAPL,7/13/2021,144.029999,147.460007,143.630005,145.639999,144.812653,100827100
AAPL,7/14/2021,148.100006,149.570007,147.679993,149.149994,148.302704,127050800
AAPL,7/15/2021,149.240005,150,147.089996,148.479996,147.636505,106820300
AAPL,7/16/2021,148.460007,149.759995,145.880005,146.389999,145.558395,93251400
AAPL,7/19/2021,143.75,144.070007,141.669998,142.449997,141.640762,121434600
AAPL,7/20/2021,143.460007,147.100006,142.960007,146.149994,145.319748,96350000
AAPL,7/21/2021,145.529999,146.130005,144.630005,145.399994,144.57402,74993500
AAPL,7/22/2021,145.940002,148.199997,145.809998,146.800003,145.966064,77338200
AAPL,7/23/2021,147.550003,148.720001,146.919998,148.559998,147.716049,71447400
AAPL,7/26/2021,148.270004,149.830002,147.699997,148.990005,148.143631,72434100
AAPL,7/27/2021,149.119995,149.210007,145.550003,146.770004,145.936249,104818600
AAPL,7/28/2021,144.809998,146.970001,142.539993,144.979996,144.156403,118931200
AAPL,7/29/2021,144.690002,146.550003,144.580002,145.639999,144.812653,56699500
