Stock ticker,Date,Open,High,Low,Close,Adj Close,Volume
QCOM,6/17/2021,134.309998,136.619995,134.089996,135.350006,132.957718,6618300
QCOM,6/18/2021,134.550003,134.580002,132.240005,133,130.649246,12753600
QCOM,6/21/2021,133.050003,135.100006,132.660004,133.960007,131.592285,6371400
QCOM,6/22/2021,134.220001,135.309998,133.289993,135.080002,132.692474,5976400
QCOM,6/23/2021,134.889999,136.229996,134.809998,135.520004,133.12471,6613800
QCOM,6/24/2021,136.619995,138.509995,136.350006,137.919998,135.4823,7941700
QCOM,6/25/2021,138.449997,139.470001,136.970001,137.649994,135.217072,7949200
QCOM,6/28/2021,138.229996,140.169998,137.979996,139.720001,137.250458,6645500
QCOM,6/29/2021,139.630005,142.949997,139.25,142.619995,140.099213,6885400
QCOM,6/30/2021,142.350006,143.630005,141.839996,142.929993,140.403732,6449700
QCOM,7/1/2021,142.910004,143.020004,140.350006,140.800003,138.311371,6094100
QCOM,7/2/2021,141.990005,142.679993,141.25,142.580002,140.059937,5399100
QCOM,7/6/2021,143,143.179993,139.679993,141.190002,138.694489,7095200
QCOM,7/7/2021,142.240005,142.360001,139.059998,139.970001,137.496048,5034900
QCOM,7/8/2021,137.720001,138.869995,135.600006,138.289993,135.845749,7501100
QCOM,7/9/2021,137.889999,141.729996,137.809998,141.429993,138.930237,7356800
QCOM,7/12/2021,141.399994,143.020004,141.199997,142.470001,139.951874,6786500
QCOM,7/13/2021,142.440002,142.660004,140.419998,141.179993,138.684662,5657600
QCOM,7/14/2021,143.5,146.339996,142.5,143.75,141.209244,11305700
QCOM,7/15/2021,144.119995,144.139999,140.720001,141.460007,138.959732,6667400
QCOM,7/16/2021,141.869995,142.509995,139.529999,139.710007,137.240662,5914300
QCOM,7/19/2021,138.320007,138.899994,136.809998,138.789993,136.336899,9371300
QCOM,7/20/2021,139.020004,140.419998,137.199997,139.550003,137.083496,6020400
QCOM,7/21/2021,139.649994,142.220001,139.649994,142.169998,139.65715,6161900
QCOM,7/22/2021,142,142.850006,141.5,142.440002,139.922394,3862600
QCOM,7/23/2021,143.449997,144.990005,142.029999,144.880005,142.319275,6310400
QCOM,7/26/2021,143.949997,144.380005,142.240005,143.5,140.963669,6253900
QCOM,7/27/2021,142.490005,143,138.210007,140.929993,138.439087,7575800
QCOM,7/28/2021,141.270004,142.910004,140.139999,142.440002,139.922394,9303400
QCOM,7/29/2021,146.5,151.520004,146.410004,150.990005,148.321289,19446900
QCOM,7/30/2021,149.199997,150.410004,148.360001,149.800003,147.152313,8404800
QCOM,8/2/2021,150,152.279999,148.210007,148.860001,146.228943,10823800
QCOM,8/3/2021,148.910004,149.580002,146.559998,147.949997,145.335007,6223400
QCOM,8/4/2021,148.020004,149.199997,147.330002,148.220001,145.600235,5556400
QCOM,8/5/2021,147.240005,147.470001,144.570007,146.830002,144.234818,7169200
QCOM,8/6/2021,146.130005,148.229996,145.919998,146.279999,143.694534,5733300
QCOM,8/9/2021,146.789993,147.720001,145.75,146.919998,144.323212,4966600
QCOM,8/10/2021,147.320007,147.5,142.399994,145.869995,143.291779,4197100
QCOM,8/11/2021,146.059998,146.789993,144.399994,146.679993,144.087448,6216000
QCOM,8/12/2021,147.759995,148,146.389999,147.149994,144.549133,5777700
QCOM,8/13/2021,147,149.309998,146.929993,148.639999,146.012833,5764000
QCOM,8/16/2021,148.399994,149.080002,146.720001,148.130005,145.511841,4410800
QCOM,8/17/2021,146.949997,147,143.570007,144.410004,141.85759,7256800
QCOM,8/18/2021,143.839996,144.660004,141.979996,142.179993,139.666977,6546500
QCOM,8/19/2021,140.649994,141.449997,138.960007,140.610001,138.124741,8661000
QCOM,8/20/2021,140.610001,142.259995,140.300003,142.089996,139.578583,6141000
QCOM,8/23/2021,142.649994,144.610001,142.350006,144.139999,141.592361,6936900
QCOM,8/24/2021,144.589996,145.589996,143.839996,144.460007,141.906723,7066800
QCOM,8/25/2021,144.460007,145.429993,143.470001,143.869995,141.327118,5721600
QCOM,8/26/2021,143.190002,143.759995,141.619995,142.380005,139.863449,6825100
QCOM,8/27/2021,142.199997,144.949997,141.919998,144.850006,142.28981,6274500
QCOM,8/30/2021,145.589996,147.860001,145.559998,145.940002,143.36055,5263600
QCOM,8/31/2021,146.800003,147.529999,144.559998,146.690002,144.097275,7820500
QCOM,9/1/2021,146.839996,148.100006,146.220001,146.449997,144.531509,6451400
QCOM,9/2/2021,146.699997,146.889999,144.509995,145.119995,143.218933,6006700
QCOM,9/3/2021,145.119995,145.990005,144.229996,144.630005,142.735352,5505800
QCOM,9/7/2021,144.679993,144.759995,143.119995,143.75,141.866882,6361200
QCOM,9/8/2021,143.360001,143.619995,141.490005,142.520004,140.653015,5981300
QCOM,9/9/2021,142.470001,143.539993,141.449997,141.580002,139.725327,6190800
QCOM,9/10/2021,143.130005,146,142.539993,142.679993,140.810898,6263300
QCOM,9/13/2021,144.020004,144.729996,142.029999,143.410004,141.531342,4312800
QCOM,9/14/2021,144.470001,144.809998,140.619995,141.139999,139.291077,6442100
QCOM,9/15/2021,140.809998,141,137.520004,138.240005,136.429062,11289100
QCOM,9/16/2021,137.320007,138.960007,137.320007,138.399994,136.586975,6719900
QCOM,9/17/2021,137.809998,138,133.139999,133.600006,131.849854,14550500
QCOM,9/20/2021,131.470001,133.119995,130.610001,132.759995,131.020844,9647100
QCOM,9/21/2021,133.589996,133.910004,131.279999,131.75,130.024078,6175300
QCOM,9/22/2021,132.589996,133.490005,131.979996,133.009995,131.267578,5163000
QCOM,9/23/2021,133.75,135.160004,133.220001,133.910004,132.155792,5918900
QCOM,9/24/2021,133.110001,134.550003,132.800003,133.880005,132.126175,4554600
QCOM,9/27/2021,132.429993,134.039993,132.020004,133.479996,131.731415,4319500
QCOM,9/28/2021,131.75,132.740005,129.699997,129.899994,128.198318,8851700
QCOM,9/29/2021,130.589996,131.449997,128.889999,129.279999,127.586456,7037200
QCOM,9/30/2021,130.350006,131.080002,128.699997,128.979996,127.290367,6976800
QCOM,10/1/2021,129.800003,130.020004,126.470001,128.710007,127.023926,6863700
QCOM,10/4/2021,128.919998,129.789993,125.919998,126.68,125.0205,8470300
QCOM,10/5/2021,126.129997,128.770004,125.690002,127.529999,125.859367,9244300
QCOM,10/6/2021,126.550003,128.270004,126.07,128.059998,126.382423,8513700
QCOM,10/7/2021,129.259995,130.720001,127.589996,127.839996,126.165298,8010600
QCOM,10/8/2021,128.589996,128.589996,126.209999,126.550003,124.892212,6920500
QCOM,10/11/2021,126.059998,127.230003,124.879997,124.940002,123.303299,6288200
QCOM,10/12/2021,125.379997,125.470001,122.169998,122.949997,121.339363,10531500
QCOM,10/13/2021,125.199997,126.32,123.519997,125.040001,123.401985,12373800
QCOM,10/14/2021,126.160004,129.300003,125.989998,128.660004,126.974564,10637900
QCOM,10/15/2021,129.020004,130.479996,128.679993,130.199997,128.494385,7609700
QCOM,10/18/2021,129.320007,130.270004,128.240005,130.119995,128.415436,5290000
QCOM,10/19/2021,131.020004,132.800003,130.320007,132.5,130.764267,7330700
QCOM,10/20/2021,132.5,133.009995,131.259995,132.160004,130.428711,4804100
QCOM,10/21/2021,132,133.259995,131.399994,133.050003,131.307053,4579200
QCOM,10/22/2021,132.899994,133.690002,131.429993,131.619995,129.895782,5216200
QCOM,10/25/2021,131.820007,133.169998,131.300003,131.929993,130.201721,4876300
QCOM,10/26/2021,132.899994,133.789993,131.070007,131.940002,130.211594,5802200
QCOM,10/27/2021,131.940002,132.360001,130.509995,131.199997,129.481293,5090400
QCOM,10/28/2021,131.990005,133.830002,131.869995,133.690002,131.938675,5016700
QCOM,10/29/2021,132.860001,133.679993,132.449997,133.039993,131.29718,5251100
QCOM,11/1/2021,132.440002,134.869995,132.440002,134.809998,133.044006,6903000
QCOM,11/2/2021,134.550003,135.729996,134.119995,135.229996,133.458496,7321900
QCOM,11/3/2021,135.75,138.850006,135.039993,138.479996,136.665924,13216000
QCOM,11/4/2021,156.320007,159.580002,153.300003,156.110001,154.064972,48321500
QCOM,11/5/2021,157.070007,168.550003,155.910004,163.029999,160.894318,27226600
QCOM,11/8/2021,163.210007,167.710007,161.279999,165.850006,163.677383,14541400
QCOM,11/9/2021,166.509995,169.520004,164.380005,166.740005,164.555725,12353900
QCOM,11/10/2021,165.089996,166.119995,159.029999,159.800003,157.706635,11327100
QCOM,11/11/2021,161.800003,165.559998,161.389999,164.419998,162.266113,7624200
QCOM,11/12/2021,165,166.020004,164.330002,164.940002,162.779297,7371000
QCOM,11/15/2021,166.5,169.940002,165.809998,168.509995,166.302521,12350200
QCOM,11/16/2021,168.110001,183.729996,167.059998,181.809998,179.428299,33338200
QCOM,11/17/2021,180.789993,186.330002,178.630005,183.539993,181.13562,21678900
QCOM,11/18/2021,185.240005,188.720001,182.75,186.320007,183.879227,15542600
QCOM,11/19/2021,184.690002,186.600006,182.300003,185,182.576508,11889100
QCOM,11/22/2021,181.110001,188.770004,180.979996,181.399994,179.023682,16062800
QCOM,11/23/2021,180.339996,181.330002,177.020004,180.940002,178.569702,10696200
QCOM,11/24/2021,179.520004,180.779999,177.330002,180.710007,178.342728,7886200
QCOM,11/26/2021,175.669998,180.25,175.059998,175.740005,173.437836,7835900
QCOM,11/29/2021,179.479996,184.070007,179,183.740005,181.333038,10440500
QCOM,11/30/2021,183.220001,186.809998,180.339996,180.559998,178.194687,19309200
QCOM,12/1/2021,180.889999,183.149994,175.320007,175.630005,173.984512,10637700
QCOM,12/2/2021,172.089996,177.889999,171.210007,177.029999,175.371384,13101400
QCOM,12/3/2021,178.039993,180.270004,173.710007,176.509995,174.856247,12111800
QCOM,12/6/2021,176.880005,176.979996,172.270004,175.449997,173.806183,8577500
QCOM,12/7/2021,179.070007,184.779999,178.5,183.720001,181.998703,9910100
QCOM,12/8/2021,183.009995,183.720001,180.779999,182.630005,180.918915,4799400
QCOM,12/9/2021,181.770004,187.839996,181.509995,182.259995,180.552383,9398900
QCOM,12/10/2021,185.550003,185.550003,181.149994,183.880005,182.157211,6854800
QCOM,12/13/2021,186.850006,191.300003,183.110001,183.320007,181.602463,16346800
QCOM,12/14/2021,181.199997,183.899994,179.410004,181.979996,180.274994,8542800
QCOM,12/15/2021,183.970001,189.779999,179.979996,189.279999,187.506622,11082000
QCOM,12/16/2021,190.300003,192.679993,176.110001,178.149994,176.480881,14873000
QCOM,12/17/2021,175.729996,180.119995,175.020004,176.800003,175.143539,16232300
QCOM,12/20/2021,174.289993,177.080002,173.460007,176.669998,175.014755,6306400
QCOM,12/21/2021,179.380005,180.149994,174.220001,179.580002,177.897491,7702400
QCOM,12/22/2021,179,181.520004,177.630005,181.380005,179.680634,5227200
QCOM,12/23/2021,181.529999,183.710007,181.380005,182.740005,181.027893,4918900
QCOM,12/27/2021,183.210007,186.410004,183.020004,186.330002,184.584259,4865900
QCOM,12/28/2021,186.589996,186.729996,183.490005,184.820007,183.088409,5399400
QCOM,12/29/2021,184.679993,187.389999,184.559998,186.199997,184.45546,5417200
QCOM,12/30/2021,185.880005,186.520004,182.309998,182.729996,181.017975,4108400
QCOM,12/31/2021,183.309998,185.149994,182.600006,182.869995,181.156662,4113300
QCOM,1/3/2022,182.910004,186.880005,182.240005,186.210007,184.465378,5990200
QCOM,1/4/2022,187,188.929993,181.009995,187.229996,185.475815,8484200
QCOM,1/5/2022,186.5,193.580002,184.729996,186.5,184.752655,17141200
QCOM,1/6/2022,184.520004,188.470001,183,185.949997,184.207809,9117700
QCOM,1/7/2022,186.600006,188.360001,180.119995,180.410004,178.719711,7386200
QCOM,1/10/2022,178.270004,180,173.759995,179.679993,177.996552,11159300
QCOM,1/11/2022,179.190002,185.649994,177.220001,185.399994,183.662964,9591000
QCOM,1/12/2022,186.600006,189.460007,185.190002,186.419998,184.673401,7317500
QCOM,1/13/2022,188.699997,191.580002,183.289993,183.889999,182.167114,10190900
QCOM,1/14/2022,182.800003,190.089996,182.009995,188.690002,186.922134,9587300
QCOM,1/18/2022,185.869995,186,178.270004,178.860001,177.184235,10471200
QCOM,1/19/2022,180.570007,181.210007,172.270004,172.470001,170.854111,10082700
QCOM,1/20/2022,174.529999,174.990005,166.289993,166.5,164.940033,9468500
